iter	RMSE
0	1.125849035
1	1.070722648
2	1.023365379
3	0.9814634074
4	0.9458010347
5	0.9145541079
6	0.8885982107
7	0.8655659692
8	0.8456034824
9	0.8267858626
10	0.8118137615
11	0.7956084097
12	0.7838940084
13	0.7723452951
14	0.7628089909
15	0.7539420438
16	0.7465079684
17	0.7391138969
18	0.732690426
19	0.727157193
20	0.7218788216
21	0.7176022449
22	0.7136877926
23	0.7102621528
24	0.7066697614
25	0.7037795161
26	0.7011422593
27	0.6985857639
28	0.696327768
29	0.6943020249
30	0.6920985668
31	0.6897075003
32	0.6881184857
33	0.6864607085
34	0.6850890718
35	0.683738342
36	0.6823120511
37	0.680841761
38	0.6796110825
39	0.6786781675
40	0.6772103851
41	0.675774427
42	0.6748804753
43	0.6735692197
44	0.6728452362
45	0.6717467854
46	0.6710662146
47	0.6702347405
48	0.6694818088
49	0.6687565271
50	0.6680308345
51	0.6674796774
52	0.666676918
53	0.6661623246
54	0.6651783022
55	0.6645668219
56	0.6640876698
57	0.6632477604
58	0.6625276367
59	0.661921776
60	0.6612955602
61	0.660740827
62	0.6602632341
63	0.6595946205
64	0.6589166423
65	0.6584793368
66	0.6579425964
67	0.6575472349
68	0.6566459547
69	0.6562434164
70	0.6558535633
71	0.6555170883
72	0.6549587988
73	0.6546867681
74	0.6543065214
75	0.6538200996
76	0.6535464896
77	0.6528379848
78	0.6522099192
79	0.651825575
80	0.6513610074
81	0.6508301728
82	0.6505771655
83	0.6500960729
84	0.6495002933
85	0.6493379737
86	0.6486075795
87	0.6483347262
88	0.6480766913
89	0.6478082873
90	0.6475543205
91	0.6473299523
92	0.6470633377
93	0.6468386685
94	0.6465121192
95	0.6462444107
96	0.6459693867
97	0.6457507705
98	0.6455360171
99	0.6453679876
100	0.6451242091
101	0.6446619096
102	0.6442348657
103	0.6439858558
104	0.6437405095
105	0.6431634029
106	0.6430161649
107	0.6427051742
108	0.6424523393
109	0.6422194811
110	0.6420415406
111	0.6418831964
112	0.6415404825
113	0.6413610502
114	0.6412298769
115	0.6410859354
116	0.6409537297
117	0.6407241779
118	0.6404031138
119	0.640048864
120	0.6398936245
121	0.6397540965
122	0.639617022
123	0.6391830572
124	0.6391059207
125	0.638933661
126	0.6388231186
127	0.6383174621
128	0.6381632777
129	0.6380006333
130	0.6375659378
131	0.6373198624
132	0.6370725879
133	0.6369687925
134	0.6368449983
135	0.6367283232
136	0.6365965947
137	0.6363469335
138	0.6362151691
139	0.6360982751
140	0.6359959044
141	0.6358832275
142	0.635729356
143	0.6355516196
144	0.6354183782
145	0.6352731879
146	0.6351782041
147	0.6351014013
148	0.6349204322
149	0.6348026559
150	0.6347028281
151	0.6345106122
152	0.6343139219
153	0.6341739061
154	0.6339909956
155	0.633860817
156	0.6337628264
157	0.6336794322
158	0.6335619573
159	0.6332187521
160	0.6331279947
161	0.6330067536
162	0.6326561317
163	0.6323667834
164	0.6322129905
165	0.631958412
166	0.6318283046
167	0.63170441
168	0.6315854071
169	0.6314683273
170	0.6311098797
171	0.6309976939
172	0.6308180522
173	0.6306342406
174	0.6304754213
175	0.6303614716
176	0.6302407094
177	0.6299304611
178	0.6298210349
179	0.6296202775
180	0.6294743355
181	0.6293464607
182	0.6292615251
183	0.6291784253
184	0.6291050187
185	0.6290376816
186	0.6289066498
187	0.6286190529
188	0.6284332312
189	0.6283065884
190	0.6282392586
191	0.628172335
192	0.6280860692
193	0.6279531433
194	0.6278685815
195	0.6277833731
196	0.6276881818
197	0.6275384004
198	0.6270537198
199	0.6269170264
200	0.6268237353
201	0.6266198171
202	0.6265353764
203	0.6264153711
204	0.6263287496
205	0.6262612953
206	0.6261695968
207	0.6260253229
208	0.6259756417
209	0.6258098799
210	0.6256822437
211	0.6255940862
212	0.6254986635
213	0.6253647376
214	0.6253047241
215	0.6252122227
216	0.6251038291
217	0.6250168864
218	0.6249493069
219	0.6248609071
220	0.6247557681
221	0.6246607881
222	0.624598691
223	0.6245104479
224	0.6241165836
225	0.6239746635
226	0.6238830305
227	0.6237945491
228	0.6236956536
229	0.6236374117
230	0.6235745244
231	0.6235123983
232	0.6234416678
233	0.6232507568
234	0.6230566691
235	0.6228507893
236	0.6227125306
237	0.6226191398
238	0.622456666
239	0.6224073496
240	0.6222353708
241	0.6221615898
242	0.6220007074
243	0.621905062
244	0.6218539868
245	0.6217547331
246	0.6215746755
247	0.6214686779
248	0.621345126
249	0.6212558686
250	0.6212038776
251	0.6211453008
252	0.6210862256
253	0.621033229
254	0.6209619581
255	0.6208320592
256	0.6207529869
257	0.6206856677
258	0.6206159965
259	0.6204892412
260	0.6204033017
261	0.620331503
262	0.6202560575
263	0.620207019
264	0.6201436069
265	0.620073114
266	0.6199904015
267	0.6199598332
268	0.6199094042
269	0.6198353685
270	0.6197666063
271	0.6196659885
272	0.619606117
273	0.6194951309
274	0.6194222972
275	0.6192916306
276	0.6191459554
277	0.6190668183
278	0.6190038708
279	0.6189447561
280	0.6188963999
281	0.6188304612
282	0.6187660135
283	0.6187051735
284	0.618609276
285	0.61856081
286	0.618513068
287	0.6179176411
288	0.6178393443
289	0.6177855812
290	0.6177271106
291	0.6176419009
292	0.6175971572
293	0.6175312389
294	0.6174696522
295	0.6173943229
296	0.6173405774
297	0.6172138862
298	0.6171597251
299	0.6171239609
