iter	Passed	Remaining
0	1231	368201
1	2276	339149
2	3326	329361
3	4186	309818
4	5002	295130
5	5790	283749
6	6532	273441
7	7260	265021
8	7894	255244
9	8878	257470
10	9760	256438
11	10577	253864
12	11258	248548
13	12031	245786
14	12722	241720
15	13377	237458
16	14106	234824
17	14977	234645
18	15818	233943
19	16449	230288
20	17310	229984
21	18586	234868
22	19450	234248
23	20083	230960
24	21172	232900
25	21940	231224
26	22678	229306
27	23440	227710
28	24183	225989
29	24893	224038
30	25533	221568
31	26424	221303
32	27058	218929
33	28042	219389
34	29141	220639
35	30012	220088
36	30835	219180
37	31573	217692
38	32329	216359
39	33126	215324
40	33902	214163
41	34569	212356
42	35367	211385
43	36356	211528
44	37125	210380
45	37999	209821
46	38870	209238
47	39719	208527
48	40629	208124
49	41572	207862
50	42361	206822
51	42966	204919
52	43644	203398
53	44454	202515
54	45424	202345
55	46275	201630
56	47129	200922
57	48023	200374
58	49031	200280
59	49696	198785
60	50493	197833
61	51190	196507
62	51830	194979
63	52542	193750
64	53452	193252
65	54070	191706
66	54801	190577
67	55671	189939
68	56676	189742
69	57624	189338
70	58423	188436
71	59079	187086
72	59991	186549
73	60596	185065
74	61354	184064
75	61992	182715
76	62762	181765
77	63760	181470
78	64508	180459
79	65283	179528
80	66306	179272
81	66979	178068
82	67630	176817
83	68385	175848
84	69285	175251
85	70040	174286
86	70690	173070
87	71330	171842
88	72114	170968
89	72754	169759
90	73499	168807
91	74283	167945
92	75251	167494
93	75995	166544
94	76636	165373
95	77555	164805
96	78290	163845
97	79093	163029
98	79727	161870
99	80612	161225
100	81242	160071
101	82279	159719
102	83110	158958
103	83933	158183
104	84769	157429
105	85436	156364
106	86114	155328
107	86913	154513
108	87877	153986
109	88533	152921
110	89169	151829
111	89838	150799
112	91523	151459
113	92214	150454
114	93083	149743
115	93711	148645
116	94477	147772
117	95423	147178
118	96434	146677
119	97258	145888
120	98121	145155
121	99051	144518
122	99789	143599
123	100357	142443
124	101139	141595
125	102060	140940
126	102719	139925
127	103460	139025
128	104109	138005
129	104783	137025
130	105527	136137
131	106430	135457
132	107155	134548
133	107818	133565
134	108633	132774
135	109283	131782
136	109961	130830
137	110677	129925
138	111488	129133
139	112136	128155
140	112968	127389
141	113699	126510
142	114508	125718
143	115284	124891
144	115963	123960
145	116768	123166
146	117832	122642
147	118652	121859
148	119621	121227
149	120347	120347
150	121102	119498
151	122127	118913
152	123522	118678
153	124536	118066
154	125545	117445
155	126241	116530
156	126973	115651
157	127716	114783
158	128447	113906
159	129671	113462
160	130502	112670
161	131260	111814
162	132043	110981
163	132923	110229
164	133676	109371
165	134961	108944
166	135694	108067
167	136467	107224
168	137365	106478
169	138300	105759
170	139139	104965
171	139961	104157
172	141502	103877
173	142115	102911
174	142950	102107
175	144063	101499
176	144975	100745
177	146127	100154
178	146935	99324
179	148014	98676
180	149174	98076
181	150212	97390
182	151178	96655
183	152230	95971
184	153054	95141
185	153918	94337
186	155022	93676
187	155878	92863
188	156703	92031
189	157959	91450
190	158817	90634
191	159744	89856
192	160964	89239
193	161909	88466
194	162739	87628
195	163754	86890
196	165013	86275
197	165984	85507
198	167485	85005
199	169080	84540
200	170114	83787
201	171319	83115
202	172488	82420
203	174034	81898
204	175035	81113
205	176384	80486
206	177797	79879
207	178742	79059
208	180025	78384
209	181539	77802
210	182891	77143
211	184310	76506
212	185555	75790
213	186253	74849
214	187527	74138
215	188449	73285
216	189392	72440
217	190251	71562
218	191498	70828
219	192960	70167
220	194163	69406
221	195411	68658
222	196429	67825
223	197829	67120
224	199598	66532
225	201220	65886
226	202004	64961
227	203163	64156
228	204405	63374
229	205303	62483
230	206518	61687
231	207847	60920
232	210565	60548
233	211873	59759
234	212735	58841
235	213439	57881
236	214729	57079
237	215443	56123
238	216486	55253
239	217705	54426
240	218712	53543
241	219726	52661
242	220817	51796
243	222180	50992
244	223460	50164
245	224135	49200
246	225853	48462
247	227200	47638
248	228122	46723
249	229381	45876
250	230626	45022
251	231583	44111
252	232555	43202
253	233641	42313
254	234791	41433
255	235816	40530
256	236835	39626
257	237974	38740
258	239448	37904
259	240423	36988
260	241708	36117
261	242575	35182
262	243880	34310
263	244715	33370
264	245645	32443
265	246857	31553
266	248081	30661
267	249263	29762
268	250443	28861
269	251724	27969
270	252813	27053
271	253792	26125
272	254879	25207
273	256247	24315
274	257179	23379
275	258541	22481
276	259414	21539
277	260486	20614
278	261463	19680
279	262332	18738
280	263397	17809
281	264797	16901
282	265545	15951
283	266500	15014
284	267628	14085
285	268505	13143
286	269609	12212
287	271281	11303
288	272405	10368
289	273291	9423
290	274402	8486
291	275504	7548
292	276676	6610
293	277877	5670
294	278922	4727
295	280003	3783
296	280910	2837
297	282041	1892
298	283391	947
299	284369	0
